2025-08-27 02:02:25 | INFO | [TEST] test_module: Testing action logger integration | Reasoning: Verifying that the action logging system works correctly | Outcome: Success
2025-09-07 13:20:55 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-09-07 13:22:53 | INFO | [SERVER_MGMT] server_manager: start webui | Reasoning: Service DuckBot Professional WebUI was already running on port 8787 | Outcome: Success - Already running
2025-09-07 13:23:12 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: chat, Confidence: 0.95 | Outcome: Success: 0.95
2025-09-07 13:32:42 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-09-07 13:36:58 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-09-07 13:45:29 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-09-07 13:47:32 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-09-07 14:01:36 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-09-07 14:32:49 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-09-07 14:37:11 | INFO | [SERVER_MGMT] server_manager: start webui | Reasoning: Service DuckBot Professional WebUI was already running on port 8787 | Outcome: Success - Already running
2025-09-07 14:37:30 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: chat, Confidence: 0.95 | Outcome: Success: 0.95
2025-09-07 14:38:24 | INFO | [SERVER_MGMT] server_manager: start lm_studio | Reasoning: Service LM Studio Server was already running on port 1234 | Outcome: Success - Already running
2025-09-07 14:38:24 | INFO | [SERVER_MGMT] server_manager: start comfyui | Reasoning: Starting ComfyUI Image Generation on port 8188 as requested by AI or user | Outcome: Starting...
2025-09-07 14:38:28 | ERROR | [SERVER_MGMT] server_manager: start comfyui | Reasoning: Process started but service is not responding on expected port 8188 | Outcome: Failed - Not responding
2025-09-07 14:38:28 | INFO | [SERVER_MGMT] server_manager: start n8n | Reasoning: Service n8n Workflow Automation was already running on port 5678 | Outcome: Success - Already running
2025-09-07 14:38:28 | INFO | [SERVER_MGMT] server_manager: start open_notebook | Reasoning: Starting Open Notebook AI Interface on port 8502 as requested by AI or user | Outcome: Starting...
2025-09-07 14:38:32 | ERROR | [SERVER_MGMT] server_manager: start open_notebook | Reasoning: Process started but service is not responding on expected port 8502 | Outcome: Failed - Not responding
2025-09-07 14:38:32 | INFO | [SERVER_MGMT] server_manager: start jupyter | Reasoning: Service Jupyter Notebook Server was already running on port 8889 | Outcome: Success - Already running
2025-09-07 14:38:32 | INFO | [SERVER_MGMT] server_manager: start webui | Reasoning: Service DuckBot Professional WebUI was already running on port 8787 | Outcome: Success - Already running
2025-09-07 14:38:32 | INFO | [SERVER_MGMT] server_manager: start discord_bot | Reasoning: Starting DuckBot Discord Bot on port None as requested by AI or user | Outcome: Starting...
2025-09-07 14:38:36 | ERROR | [SERVER_MGMT] server_manager: start discord_bot | Reasoning: Process started but service is not responding on expected port None | Outcome: Failed - Not responding
2025-09-07 14:38:55 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: chat, Confidence: 0.95 | Outcome: Success: 0.95
2025-09-07 14:41:43 | INFO | [SERVER_MGMT] server_manager: start webui | Reasoning: Service DuckBot Professional WebUI was already running on port 8787 | Outcome: Success - Already running
2025-09-07 14:42:04 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: chat, Confidence: 0.95 | Outcome: Success: 0.95
2025-09-07 14:42:50 | INFO | [SERVER_MGMT] server_manager: start lm_studio | Reasoning: Service LM Studio Server was already running on port 1234 | Outcome: Success - Already running
2025-09-07 14:42:50 | INFO | [SERVER_MGMT] server_manager: start comfyui | Reasoning: Starting ComfyUI Image Generation on port 8188 as requested by AI or user | Outcome: Starting...
2025-09-07 14:42:54 | ERROR | [SERVER_MGMT] server_manager: start comfyui | Reasoning: Process started but service is not responding on expected port 8188 | Outcome: Failed - Not responding
2025-09-07 14:42:54 | INFO | [SERVER_MGMT] server_manager: start n8n | Reasoning: Service n8n Workflow Automation was already running on port 5678 | Outcome: Success - Already running
2025-09-07 14:42:54 | INFO | [SERVER_MGMT] server_manager: start open_notebook | Reasoning: Starting Open Notebook AI Interface on port 8502 as requested by AI or user | Outcome: Starting...
2025-09-07 14:42:58 | ERROR | [SERVER_MGMT] server_manager: start open_notebook | Reasoning: Process started but service is not responding on expected port 8502 | Outcome: Failed - Not responding
2025-09-07 14:42:58 | INFO | [SERVER_MGMT] server_manager: start jupyter | Reasoning: Service Jupyter Notebook Server was already running on port 8889 | Outcome: Success - Already running
2025-09-07 14:42:58 | INFO | [SERVER_MGMT] server_manager: start webui | Reasoning: Service DuckBot Professional WebUI was already running on port 8787 | Outcome: Success - Already running
2025-09-07 14:42:58 | INFO | [SERVER_MGMT] server_manager: start discord_bot | Reasoning: Starting DuckBot Discord Bot on port None as requested by AI or user | Outcome: Starting...
2025-09-07 14:43:02 | ERROR | [SERVER_MGMT] server_manager: start discord_bot | Reasoning: Process started but service is not responding on expected port None | Outcome: Failed - Not responding
2025-09-07 14:43:23 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: chat, Confidence: 0.95 | Outcome: Success: 0.95
2025-09-07 14:46:02 | INFO | [SERVER_MGMT] server_manager: start lm_studio | Reasoning: Service LM Studio Server was already running on port 1234 | Outcome: Success - Already running
2025-09-07 14:46:02 | INFO | [SERVER_MGMT] server_manager: start comfyui | Reasoning: Starting ComfyUI Image Generation on port 8188 as requested by AI or user | Outcome: Starting...
2025-09-07 14:46:06 | ERROR | [SERVER_MGMT] server_manager: start comfyui | Reasoning: Process started but service is not responding on expected port 8188 | Outcome: Failed - Not responding
2025-09-07 14:46:06 | INFO | [SERVER_MGMT] server_manager: start n8n | Reasoning: Service n8n Workflow Automation was already running on port 5678 | Outcome: Success - Already running
2025-09-07 14:46:06 | INFO | [SERVER_MGMT] server_manager: start open_notebook | Reasoning: Starting Open Notebook AI Interface on port 8502 as requested by AI or user | Outcome: Starting...
2025-09-07 14:46:10 | ERROR | [SERVER_MGMT] server_manager: start open_notebook | Reasoning: Process started but service is not responding on expected port 8502 | Outcome: Failed - Not responding
2025-09-07 14:46:10 | INFO | [SERVER_MGMT] server_manager: start jupyter | Reasoning: Service Jupyter Notebook Server was already running on port 8889 | Outcome: Success - Already running
2025-09-07 14:46:10 | INFO | [SERVER_MGMT] server_manager: start webui | Reasoning: Service DuckBot Professional WebUI was already running on port 8787 | Outcome: Success - Already running
2025-09-07 14:46:10 | INFO | [SERVER_MGMT] server_manager: start discord_bot | Reasoning: Starting DuckBot Discord Bot on port None as requested by AI or user | Outcome: Starting...
2025-09-07 14:46:14 | ERROR | [SERVER_MGMT] server_manager: start discord_bot | Reasoning: Process started but service is not responding on expected port None | Outcome: Failed - Not responding
2025-09-07 14:46:33 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: chat, Confidence: 0.95 | Outcome: Success: 0.95
2025-09-07 14:47:41 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen | Reasoning: Selected qwen after 1 attempts. Bucket: chat, Confidence: 0.85 | Outcome: Success: 0.85
2025-09-07 14:50:09 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: chat, Confidence: 0.95 | Outcome: Success: 0.95
2025-09-07 20:15:23 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
